ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SJWQ,SP0116,Aeroclube de Birigui - CMTE Munir Djabak,BIRIGUI,SP,,[],OK
SNKB,PB0015,Aeroclube de Campina Grande,CAMPINA GRANDE,PB,,[],OK
SIXE,RS0072,Aeroclube de Eldorado do Sul,ELDORADO DO SUL,RS,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1514/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1513/2018', 'texto2': 'Duração:'}]",OK
SSAF,PR0071,Aeroclube de Foz do Iguaçu,SANTA TEREZINHA DE ITAIPU,PR,,[],OK
SSOW,RS0098,Aeroclube de Frederico Westphalen,FREDERICO WESTPHALEN,RS,,[],OK
SDIO,SP0109,Aeroclube de Itápolis,ITÁPOLIS,SP,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1090/2018', 'msg': 'ACROBACIA AEREA SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO ACONTECERA BTN COORD 213536.96S/0485001.50W, 213609.45S/0484958.60W, 213612.29S/0485033.21W, 213539.99S/0485036.26W (ITAPOLIS, SP) RTO COOR SBR 437 ', 'texto2': 'Duração:'}, {'badge_info': 'F0671/19', 'titulo': ' R F0175/19 12/04/2019 14:45', 'msg': 'ACROBACIA AEREA SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO ACONTECERA BTN COORD 213536.96S/0485001.50W, 213609.45S/0484958.60W, 213612.29S/0485033.21W, 213539.99S/0485036.26W (ITAPOLIS, SP) RTO COOR SBR 437 ', 'texto2': 'SFC'}, {'badge_info': 'F0659/19', 'titulo': ' N 11/04/2019 18:37', 'msg': 'FLT GLD SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO ACONTECERACOORD 213208.07S0484342.33W, 212826.44S0485900.60W, 213713.00S0490021.22W,213952.36S0484817.01W,  213541.17S0485107.53W  (ITAPOLIS, SP) DNG COOR SBR 437 ', 'texto2': 'SFC'}, {'badge_info': 'F0176/19', 'titulo': ' R F2223/18 28/01/2019 18:58', 'msg': 'FLT GLD SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO  ACONTECERA COORD 213316.23S0485231.10W, 213312.18S0484057.06W, 214400.09S0484056.35W,214113.80S0485229.07W, 213540.52S0484900.19W  (ITAPOLIS, SP) RTO COOR SBR 437 ', 'texto2': 'SFC'}]",OK
SILN,SC0028,Rio Negrinho,RIO NEGRINHO,SC,,[],OK
SSKT,SC0038,Aeroclube de Santa Catarina,SÃO JOSÉ,SC,,"[{'badge_info': 'Z2081/18', 'titulo': ' N 26/11/2018 17:51', 'msg': 'PROC APCH VFR (VAC SAO JOSE / AEROCLUBE DE SANTA CATARINA) INSERIR FREQ 119.50 129.60 NO QUADRO APP FLORIANOPOLIS  REF: AIP MAP VAC ', 'texto2': '26/11/18 17:51 a PERM'}, {'badge_info': 'Z1421/16', 'titulo': ' N 28/04/2016 19:34', 'msg': 'AIS VAC RWY 03/21 INSERIR RMK:OBS ACFT PLANADORES E ULTRALEVES EM VOO DE INSTRUCAO PROXIMO AO ADREF: AIP MAP ', 'texto2': '28/04/16 19:43 a PERM'}]",OK
SISG,SE0002,Aeroclube de Sergipe ,ARACAJU,SE,,[],OK
SIPA,SP0140,Aeroclube São José do Rio Pardo,SÃO JOSÉ DO RIO PARDO,SP,,[],OK
SSYS,SP0266,Aero do Vale Miracatu,MIRACATU,SP,,[],OK
SWVR,MT0418,Aeródromo do Canarinho,SINOP,MT,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0919/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0898/2018', 'texto2': 'Duração:'}]",OK
SILQ,PR0046, Aeroleve Aeródromo Privado,CASCAVEL,PR,,[],OK
SIQI,RS0020,Aerolis,MOSTARDAS,RS,,[],OK
SWRQ,PI0045,Aero Park,TERESINA,PI,,[],OK
SIPJ,RS0018,Aero Parque Tupã,TUPANCIRETÃ,RS,,[],OK
SJGH,RS0013,Aeropel,SÃO BORJA,RS,,[],OK
SWMZ,MT0369,Aeroporto Agroer Aviação,RONDONÓPOLIS,MT,,[],OK
SDYS,SC0024,Aeroportobelo,PORTO BELO,SC,,[],OK
SJPP,MT0091,Aero Rural,ALTA FLORESTA,MT,,[],OK
SJWA,MG0136,Aerovaço,BOM JESUS DO GALHO,MG,,[],OK
SJJJ,PA0070,Aeroxingu,ALTAMIRA,PA,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0918/2018', 'texto2': 'Duração:'}]",OK
SNXE,AP0009,Aero Z Ferrus,FERREIRA GOMES,AP,,[],OK
SWGC,MS0375,Agricenter,PONTA PORÃ,MS,,[],OK
SWAG,TO0041,Agrícola Rio Galhão,MATEIROS,TO,,[],OK
SJSS,MT0218,Agrifor,SORRISO,MT,,[],OK
SIHW,SP0180,Agrishow,RIBEIRÃO PRETO,SP,,[],OK
SIZU,MT0160,Agrochapada,PARANATINGA,MT,,[],OK
SNTP,PA0107,Agropalma,TAILÂNDIA,PA,,[],OK
SDWC,MT0070,Agropastoril Bom Pastor,RONDONÓPOLIS,MT,,[],OK
SNMF,MG0157,Agropastoril Monte Alegre,MONTE BELO,MG,,"[{'badge_info': 'F0635/19', 'titulo': ' R F0161/19 10/04/2019 18:33', 'msg': 'AREA PERIGOSA (VOO LIVRE) COORD 202449.15S0460407.90W, 202219.84S0444054.04W, 204352.58S0444814.50W, 210431.53S0453018.30W, 212228.82S0452755.44W, 211937.17S0461452.77W, 205046.53S0462930.54W ACT ', 'texto2': 'SFC'}]",OK
SIEC,MS0073,Agropecuária Cachoeira,JARAGUARI,MS,,[],OK
SIZS,MT0159,Agropecuária Equus,GAÚCHA DO NORTE,MT,,[],OK
SNOL,MT0260,Agropecuária Mariana,ALTA FLORESTA,MT,,[],OK
SWQH,MT0381,Agropecuária Nova Santana,ARIPUANÃ,MT,,[],OK
SNCO,MS0045,Agropecuária Santa Paola,TACURU,MS,,[],OK
SIVD,MS0134,Agropecuária Santa Rita,RIO VERDE DE MATO GROSSO,MS,Aeródromo FECHADO até 30/06/19: INFOTEMP 1486/2018,"[{'badge_info': 'INFOTEMP 1486/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIHA,RS0061,Agropecuária São Bernardo,SÃO MIGUEL DAS MISSÕES,RS,,[],OK
SJRK,PA0077,Agropecuária São Roberto,SANTANA DO ARAGUAIA,PA,,[],OK
SJHU,MT0180,Agropecuária Vale do Guaporé,COMODORO,MT,,[],OK
SWZA,MT0443,Agrosan,JUARA,MT,,[],OK
SDGT,AM0028,Agrotec,MANACAPURU,AM,,[],OK
SNAV,BA0039,Agrovale,JUAZEIRO,BA,,[],OK
SJYE,RR0002,Água Fria,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1284/2018,"[{'badge_info': 'INFOTEMP 1284/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIUA,RS0068,Águas Claras,VIAMÃO,RS,,[],OK
SJQL,MG0130,Águas Claras Aviação Agrícola ,SANTA JULIANA,MG,,"[{'badge_info': 'INFOTEMP 0199/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0015/2019', 'texto2': 'Duração:'}]",OK
SWIV,PA0142,Águia Branca do Parú,ALMEIRIM,PA,,[],OK
SJYF,RR0090,Ajarani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1213/2018,"[{'badge_info': 'INFOTEMP 1213/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDIR,RR0002,Ajarani 2,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1230/2018,"[{'badge_info': 'INFOTEMP 1230/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0001/2019', 'texto2': 'Duração:'}]",OK
SIGL,BA0068,Alagoinhas,ALAGOINHAS,BA,,[],OK
SIGE,TO0018,Alberi Juliani,LAGOA DA CONFUSÃO,TO,,[],OK
SNXI,MG0168,Alberto Ramos,CORDISBURGO,MG,,[],OK
SIQU,MS0065,Alcoolvale,APARECIDA DO TABOADO,MS,,[],OK
SNDG,AM0036,Aldeia,BORBA,AM,,[],OK
SSDY,AP0010,Alegria Alcolumbre,MACAPÁ,AP,,[],OK
SNUF,SP0854,Alfa Airport Posse,SÃO PAULO,SP,,[],OK
SJXJ,MS0191,Alimentos Dallas,NOVA ALVORADA DO SUL,MS,,[],OK
SJYG,RR0011,Alto Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1211/2018,"[{'badge_info': 'INFOTEMP 1211/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SWAO,AM0043,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0163/2019,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1456/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1216/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0163/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDJS,RR0003,Andorinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1481/2018,"[{'badge_info': 'INFOTEMP 1481/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1159/2018', 'texto2': 'Duração:'}]",OK
SDKA,RR0004,Angical,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1231/2018,"[{'badge_info': 'INFOTEMP 1231/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJHF,BA0111,Aníbal Azevedo Filho,MATA DE SÃO JOÃO,BA,,[],OK
SSFU,PA0126,Antonio Furlaneto,DOM ELISEU,PA,,[],OK
SNYW,MA0005,Antônio Guerreiro,GUIMARÃES,MA,,[],OK
SSPO,MS0094,APLIC Aviação agrícola II,ITAPORÃ,MS,,[],OK
SSIC,MS0286,APLIC Aviação Agrícola LTDA,DOURADOS,MS,,[],OK
SJYI,RR0092,Arai,PACARAIMA,RR,,"[{'badge_info': 'INFOTEMP 1208/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJHZ,MT0050,Arara Azul,BARÃO DE MELGAÇO,MT,,[],OK
SJYJ,RR0093,Aratha-ú,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1206/2018,"[{'badge_info': 'INFOTEMP 1206/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIEW,AM0031,Areia Branca,NOVO ARIPUANÃ,AM,,[],OK
SJTW,RS0078,Arenhart Aviação Agrícola,URUGUAIANA,RS,,[],OK
SSOU,MT0303,Aripuanã,ARIPUANÃ,MT,,[],OK
SWOA,GO0028,Arnapar,GOIANIRA,GO,,[],OK
SIEZ,SC0025,Asa Branca,TUBARÃO,SC,,[],OK
SJPR,PR0059,Asas de Balsa Nova,BALSA NOVA,PR,,[],OK
SINA,DF0004,Asas do Ar,BRASÍLIA,DF,,[],OK
SIWC,MG0114,Asas do Cerrado,UBERLÂNDIA,MG,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0960/2018', 'texto2': 'Duração:'}]",OK
SSXA,MS0346,Asas do MS,FÁTIMA DO SUL,MS,,[],OK
SDBN,SP0176,Associação Recreativa Fazenda Bonanza,SALTO DE PIRAPORA,SP,,[],OK
SWEJ,TO0044,Associação Tocantinense de Aviação,PORTO NACIONAL,TO,,[],OK
SWAK,AM0042,Assunção do Içana,SÃO GABRIEL DA CACHOEIRA,AM,Aeródromo FECHADO até 31/12/20: INFOTEMP 0164/2019,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1454/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1215/2018', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0164/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDPC,SP0218,Atena,RANCHARIA,SP,,[],OK
SWBV,RR0108,Auaris,AMAJARI,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1492/2018,"[{'badge_info': 'INFOTEMP 1492/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 1186/2018', 'texto2': 'Duração:'}]",OK
SSJS,MT0294,Autos do Sangue,BRASNORTE,MT,,[],OK
SIMN,MT0108,Aviação Agrícola Manain,SINOP,MT,,[],OK
SWVS,MT0419,Baía do Padre,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJYK,RR0094,Baixo Catrimani,CARACARAÍ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1204/2018,"[{'badge_info': 'INFOTEMP 1204/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJYL,RR0095,Baixo Mucajaí,ALTO ALEGRE,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1201/2018,"[{'badge_info': 'INFOTEMP 1201/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJYM,RR0096,Bala,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1198/2018,"[{'badge_info': 'INFOTEMP 1198/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SNBN,PA0083,Balbinot,PORTEL,PA,,[],OK
SDBV,SP0081,Balneário São Januário,ILHA COMPRIDA,SP,,[],OK
SDOS,SP0132,Banaer,SETE BARRAS,SP,,[],OK
SIVW,SP0198,Banaer de Jacupiranga,JACUPIRANGA,SP,,[],OK
SJYO,RR0097,Bananal,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1197/2018,"[{'badge_info': 'INFOTEMP 1197/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJYP,RR0098,Bananeira,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1166/2018,"[{'badge_info': 'INFOTEMP 1166/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJQK,RR0013,Barra do Vento,BOA VISTA,RR,,[],OK
SIRI,BA0096,Barra Grande,MARAÚ,BA,,[],OK
SJYQ,RR0099,Barreirinha,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1153/2018,"[{'badge_info': 'INFOTEMP 1153/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SWZL,GO0016,Base Aeroverde,RIO VERDE,GO,,[],OK
SIVP,GO0058,Bela Manhã,NOVA CRIXÁS,GO,,[],OK
SWUB,BA0069,Belo Horizonte,ARAÇAS,BA,,[],OK
SJBW,RS0073,Berge Vile,SÃO LEOPOLDO,RS,,[],OK
SILS,MT0105,Big Master,TANGARÁ DA SERRA,MT,,"[{'badge_info': 'INFOTEMP 1417/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDBE,PA0033,Biopalma,MOJU,PA,,[],OK
SWEX,MA0050,Boa Esperança,SANTA LUZIA,MA,,[],OK
SDBJ,MG0079,Boa Vista,PATROCÍNIO,MG,,[],OK
SJXI,CE0014,Bomar,AMONTADA,CE,Aeródromo FECHADO até 26/07/19: INFOTEMP 0046/2019,"[{'badge_info': 'INFOTEMP 0046/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SNGQ,MG0148,Bom Despacho,BOM DESPACHO,MG,,"[{'badge_info': 'F2330/18', 'titulo': ' R F2325/18 28/11/2018 11:48', 'msg': 'ASCENSAO BALAO LIVRE  ACONTECERA CENTRO COORD 194100S0445330W (PITANGUI,MG) RAIO 15KM RTO ', 'texto2': 'SFC'}]",OK
SIAQ,MT0078,Bom Futuro,CUIABÁ,MT,,[],OK
SNWB,BA0148,Bom Sossego,PORTO SEGURO,BA,,[],OK
SSHB,BA0003,Boris,LUÍS EDUARDO MAGALHÃES,BA,,[],OK
SIQE,DF0005,Botelho,BRASÍLIA,DF,,[],OK
SDNB,MT0044,Brasnorte,BRASNORTE,MT,,[],OK
SJIL,MG0002,Brigadeiro Fábio Pereira da Silveira,TUPACIGUARA,MG,,[],OK
SDCU,RJ0013,Brigadeiro Francisco Pinto de Moura,CASIMIRO DE ABREU,RJ,,[],OK
SDNM,MT0047,Brig. Eduardo Gomes,NOVA MUTUM,MT,,[],OK
SILU,MS0098,BRPEC Agro-Pecuária,MIRANDA,MS,,[],OK
SJVB,SP0218,Bugio,PEDRINHAS PAULISTA,SP,,[],OK
SJZT,BA0051,Busato II,SERRA DO RAMALHO,BA,,[],OK
SNNX,RS0086,Cabanha Umbú,BARRA DO QUARAÍ,RS,,[],OK
SNDX,AL0007,Cachoeira,CORURIPE,AL,,[],OK
SJEA,TO0004,Cadete 56 - 147 Santana,PALMEIRÓPOLIS,TO,,[],OK
SWIS,TO0046,Caiapó,CASEARA,TO,,[],OK
SIRJ,PA0054,Caima,ITAITUBA,PA,,[],OK
SJYR,RR0024,Cajú,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1152/2018,"[{'badge_info': 'INFOTEMP 1152/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIZO,MT0157,Calcário Vale do Araguaia,COCALINHO,MT,,[],OK
SIKK,MG0102,Calciolândia,ARCOS,MG,,"[{'badge_info': 'INFOTEMP 0216/2019', 'titulo': '', 'msg': 'AREA PERIGOSA (VOO LIVRE) COORD 202449.15S0460407.90W, 202219.84S0444054.04W, 204352.58S0444814.50W, 210431.53S0453018.30W, 212228.82S0452755.44W, 211937.17S0461452.77W, 205046.53S0462930.54W ACT ', 'texto2': 'Duração:'}, {'badge_info': 'F0642/19', 'titulo': ' R F0159/19 10/04/2019 20:03', 'msg': 'AREA PERIGOSA (VOO LIVRE) COORD 202449.15S0460407.90W, 202219.84S0444054.04W, 204352.58S0444814.50W, 210431.53S0453018.30W, 212228.82S0452755.44W, 211937.17S0461452.77W, 205046.53S0462930.54W ACT ', 'texto2': 'SFC'}]",OK
SJYS,RR0101,Camará,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1147/2018,"[{'badge_info': 'INFOTEMP 1147/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIJY,SC0027,Itajaí/Campo Comandantes,ITAJAÍ,SC,,[],OK
SNCY,AL0006,Campo da Praia,CORURIPE,AL,,[],OK
SJYT,RR0102,Campo Formoso,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1160/2018,"[{'badge_info': 'INFOTEMP 1160/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJYU,RR0103,Campo Grande,PACARAIMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1163/2018,"[{'badge_info': 'INFOTEMP 1163/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDYX,PI0018,Campo Maior,CAMPO MAIOR,PI,,[],OK
SINC,SC0029,Campo Nuic,BOM JARDIM DA SERRA,SC,,[],OK
SINP,PR0049,Campo Primavera,SANTA MÔNICA,PR,,[],OK
SSCE,RN0011,Campos de Melo,SÃO JOSÉ DE MIPIBU,RN,,[],OK
SDLZ,MT0001,Campo Verde,CAMPO VERDE,MT,,[],OK
SJKL,RR0033,Canã,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1271/2018,"[{'badge_info': 'INFOTEMP 1271/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJKM,RR0034,Canawapai,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1281/2018,"[{'badge_info': 'INFOTEMP 1281/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SWCC,MS0093,Candote,TRÊS LAGOAS,MS,,[],OK
SDKH,AM0001,Canutama,CANUTAMA,AM,,[],OK
SWMC,SP0278,Capão da Cruz,LUÍS ANTÔNIO,SP,,[],OK
SIMJ,MG0103,Capinópolis - Aviação Agrícola Buttarello LTDA,CAPINÓPOLIS,MG,,[],OK
SNJA,RS0011,Capivari,CAPIVARI DO SUL,RS,,[],OK
SJKN,RR0035,Caracanã,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1283/2018,"[{'badge_info': 'INFOTEMP 1283/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDKL,RR0014,Caracaranã,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1232/2018,"[{'badge_info': 'INFOTEMP 1232/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJKQ,RR0038,Caramambatai (Mapae),UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1287/2018,"[{'badge_info': 'INFOTEMP 1287/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SWKN,MT0048,Caramori,BARRA DO BUGRES,MT,,[],OK
SJKP,RR0004,Caraparu,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1286/2018,"[{'badge_info': 'INFOTEMP 1286/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SDKZ,RR0006,Caraparu 4,UIRAMUTÃ,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1234/2018,"[{'badge_info': 'INFOTEMP 1234/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJKO,RR0036,Cararuau,NORMANDIA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1285/2018,"[{'badge_info': 'INFOTEMP 1285/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJXM,MG0138,Carolina de Assis Repetto,LIMA DUARTE,MG,,[],OK
SNCB,PA0084,Castanhal,PRAINHA,PA,,[],OK
SDCD,SP0082,Catanduva,CATANDUVA,SP,,[],OK
SJKS,RR0003,Catrimani I,IRACEMA,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP 1212/2018,"[{'badge_info': 'INFOTEMP 1212/2018', 'titulo': '', 'texto2': 'Duração:'}]",OK
SJCM,CE0006,Catuleve,AQUIRAZ,CE,,[],OK
SIPB,MA0024,CAVU - Clube de Aviação Ultraleve,RAPOSA,MA,,[],OK
SWPW,SP0280,CEA-Caçapava,CAÇAPAVA,SP,,[],OK
SNOG,RN0004,Ceará Mirim,CEARÁ-MIRIM,RN,,[],OK
SIIC,BA0087,Celeiro 1,JABORANDI,BA,,[],OK
SDCX,PI0013,Celeiro 2,GILBUÉS,PI,,[],OK
SSUC,PA0132,Célia Neuza,SANTA BÁRBARA DO PARÁ,PA,,[],OK
SDXI,MS0060,Cel Porto,CAMAPUÃ,MS,,[],OK
SSAU,RS0026,Centeno,TAPES,RS,,[],OK
SNSK,SP0238,Central Ferraz,HERCULÂNDIA,SP,,[],OK
SDCB,DF0021,Centro Brasileiro de Aviação Agrícola Experimental e Recreativo (CBAAER),BRASÍLIA,DF,,[],OK
SDOI,SP0130,Centro Nacional de Pára-Quedismo,BOITUVA,SP,,"[{'badge_info': 'E0639/19', 'titulo': ' R E0563/19 05/04/2019 14:03', 'msg': 'SBR 427 (BOITUVA) MODIFICADO BDRY VER SUPERIOR DE FL140 PARA FL160 ', 'texto2': 'GND'}]",OK
SJSM,PR0060,Chácara Marcella,GOIOERÊ,PR,,[],OK
SDWV,PA0039,Chácara Maringá,SENADOR JOSÉ PORFÍRIO,PA,,[],OK
SWLY,SP0277,Chácara MCL,ANDRADINA,SP,,[],OK
SNYP,PA0116,Chácara Paraíso,MARITUBA,PA,,[],OK
SWRD,RO0033,Chácara Rondoagro,SÃO MIGUEL DO GUAPORÉ,RO,,[],OK
SWXJ,MT0073,Chácara São José,CUIABÁ,MT,,[],OK
SWMT,PR0097,Chácara São Matheus,JAPURÁ,PR,,[],OK
SDXE,SP0162,Chácara Serradinho,JABOTICABAL,SP,,[],OK
SSHD,RS0096,Chico Ledur,ALEGRETE,RS,,[],OK
SDQQ,SP0136,Cia. Agrícola Quatá,QUATÁ,SP,,[],OK
SIKI,CE0021,Cialne Irauçuba,IRAUÇUBA,CE,,[],OK
SNJC,CE0023,Cialne Umirim,UMIRIM,CE,,[],OK
SNCI,PA0085,Cibrasa,CAPANEMA,PA,,[],OK
SICK,MG0033,Cidade Capelinha,CAPELINHA,MG,Aeródromo FECHADO até 11/02/20: INFOTEMP 0023/2019,"[{'badge_info': 'INFOTEMP 0023/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SIXM,MT0149,Cifi,CUIABÁ,MT,,[],OK
SNXY,PA0113,Cikel Brasil Verde,PORTEL,PA,,[],OK
SIVJ,MG0112,Cirrus Sociedade Aerodesportiva,JABOTICATUBAS,MG,,[],OK
SJAC,PA0024,Citropar,CAPITÃO POÇO,PA,,[],OK
SJEH,SP0206,Clemente Verillo,RIBEIRÃO BONITO,SP,,[],OK
SIVG,MT0141,Clube Aerodesportivo Selva,SINOP,MT,,"[{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0916/2018', 'texto2': 'Duração:'}, {'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0890/2018', 'texto2': 'Duração:'}]",OK
