ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM
SBPA,RS0001,Salgado Filho,PORTO ALEGRE,RS,,"[{'badge_info': 'N0259 | 06/12/18', 'titulo': 'PISTA ', 'texto1': '- Pista 11/29 fechada devido obras. \n\n1) Dias e Horários: 06 DEC 18 – 16 FEB 19 MON TIL SAT 0230 – 0730 UTC\n                            17 FEB 19 – 31 JUL 19 MON TIL SAT 0330 – 0830 UTC', 'texto2': '\n  \tPeríodo: De 06 de dezembro de 2018, 0230 UTC até 31 de julho de 2019, 0830 UTC.\n\tRef: AIP AD 2.12 (RPLC SUP N196/18)\n\n'}, {'badge_info': 'N0210 | 11/10/18', 'titulo': 'SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID ANBEV 1A - EDMUT 1A - ISTEN 1A - SUKLA 1A - VUBRA 1A RWY 29 inserir RMK. \n\nGRADIENTE MNM DE SUBIDA: 3.9 por cento até posição ANBEV, após 3.3 por cento. Restrição devido obstáculo sob coordenação ATC.', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 11 de outubro de 2019, 2359 UTC.\n\tRef: AIP MAP SID (RPLC SUP N147/18)\n\n'}, {'badge_info': 'N0211 | 11/10/18', 'titulo': 'SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID RNAV FIG 1 - POSBI 1 RWY 11/29 inserir item no RMK 2. \n\nRWY 29: SID POSBI 1 TRNS DO SUL GRADIENTE MNM DE SUBIDA: 3.9 por cento até POSBI após 3.3 por cento. Restrição devido obstáculo sob coordenação ATC.', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 11 de outubro de 2019, 2359 UTC.\n\tRef: AIP MAP SID\n\n'}, {'badge_info': 'N0212 | 11/10/18', 'titulo': 'SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID RNAV VASED 1A - VUGET 1B RWY 29 - Aeronave cumprindo a SAÍDA VUGET 1B, com nível de voo no espaço aéreo superior deverão, após OPKIT, voar DCT EGBIP para interceptar a aerovia UN857.', 'texto2': '\n  \tPeríodo: De 11 de outubro de 2018, 0000 UTC até 11 de outubro de 2019, 2359 UTC.\n\tRef: AIP MAP SID\n\n'}, {'badge_info': 'N0140 | 19/07/18', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTO', 'texto1': '- IAP RNAV GNSS RWY 11 modificado na caixa dos mínimos para pouso direto. \n\n1) LNAV/VNAV DA/OCH/TETO CAT A/B/C/D:\nDe: 407FT/(396FT)/400FT\nPara: 446FT/(435FT)/450FT restrição devido obstáculo sob coordenação ATC\n\n2) LNAV MDA/OCH/TETO CAT A/B/C/D/E:\nDe: 450FT/(440FT)/500FT \nPara: 500FT/(490FT)/550FT restrição devido obstáculo sob coordenação ATC', 'texto2': '\n  \tPeríodo: De 19 de julho de 2018, 0000 UTC até 01 de março de 2020, 2359 UTC.\n\tRef: AIP MAP IAC (RPLC NOTAM E0931/18)\n\n'}, {'badge_info': 'N0143 | 19/07/18', 'titulo': 'INFORMAÇÕES ADICIONAIS', 'texto1': '- Obstáculo (GUINDASTE) iluminado coordenadas 295916.30S/0511234.51W elevação 275FT sob coordenação ATC.', 'texto2': '\n  \tPeríodo: De 19 de julho de 2018, 0000 UTC até 01 de março de 2020, 2359 UTC.\n\tRef: AIP AD 2.23 (RPLC NOTAM E0937/18)\n\n'}, {'badge_info': 'N0144 | 19/07/18', 'titulo': 'PROCEDIMENTO DE APROXIMAÇÃO POR INSTRUMENTOS', 'texto1': '- IAP ILS Z OU/OR LOC Z RWY 11 modificado na caixa dos mínimos para pouso direto. \n\nLOC MDA/OCH/TETO CAT A/B/C/D:\nDe: 450FT/(440FT)/500FT \nPara: 500FT/(490FT)/550FT Restrição devido obstáculo sob coordenação ATC.', 'texto2': '\n  \tPeríodo: De 19 de julho de 2018, 0000 UTC até 01 de março de 2020, 2359 UTC\n\tRef: AIP MAP IAC (RPLC NOTAM E0940/18)\n\n'}, {'badge_info': 'N0145 | 19/07/18', 'titulo': 'CARTA DE SAÍDA PADRÃO POR INSTRUMENTOS', 'texto1': '- SID RNAV VUGET 1A RWY 29 não disponível devido obstáculo sob coordenação ATC.', 'texto2': '\n  \tPeríodo: De 19 de julho de 2018, 0000 UTC até 01 de março de 2020, 2359 UTC.\n\tRef: AIP MAP SID (RPLC NOTAM E0938/18)\n\n'}, {'badge_info': 'E0331/19', 'titulo': ' N 20/02/2019 18:41', 'texto2': '22/02/19 22:00 a 20/05/19 23:59 UTC'}, {'badge_info': 'E0296/19', 'titulo': ' N 13/02/2019 17:32', 'texto2': '14/02/19 02:00 a 20/03/19 23:59 UTC'}, {'badge_info': 'E0212/19', 'titulo': ' R E2559/18 04/02/2019 13:26', 'texto2': '04/02/19 13:26 a 31/03/19 21:00 UTC'}, {'badge_info': 'E0198/19', 'titulo': ' N 03/02/2019 07:47', 'texto2': '03/02/19 07:47 a 30/03/19 23:59 UTC'}, {'badge_info': 'E0167/19', 'titulo': ' N 28/01/2019 18:15', 'texto2': '08/02/19 02:00 a 28/03/19 23:59 UTC'}, {'badge_info': 'E0080/19', 'titulo': ' R E2862/18 14/01/2019 21:12', 'texto2': '14/01/19 21:12 a 30/03/19 23:59 UTC'}, {'badge_info': 'E2920/18', 'titulo': ' N 27/12/2018 16:37', 'texto2': '01/01/19 00:00 a 31/03/19 23:59 UTC'}, {'badge_info': 'E2601/18', 'titulo': ' N 20/11/2018 18:27', 'texto2': '06/12/18 00:00 a 05/03/19 21:00 UTC'}, {'badge_info': 'Z1935/18', 'titulo': ' N 07/11/2018 19:20', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1916/18', 'titulo': ' N 05/11/2018 17:12', 'texto2': '1500FT AGL'}, {'badge_info': 'Z1308/18', 'titulo': ' N 02/08/2018 18:14', 'texto2': '02/08/18 18:14 a PERM'}, {'badge_info': 'Z1285/18', 'titulo': ' R Z1203/18 19/07/2018 19:04', 'texto2': '19/07/18 19:04 a PERM'}, {'badge_info': 'Z0824/18', 'titulo': ' N 27/04/2018 20:31', 'texto2': '27/04/18 20:35 a PERM'}, {'badge_info': 'Z4055/17', 'titulo': ' N 05/12/2017 14:21', 'texto2': '05/12/17 14:14 a PERM'}, {'badge_info': 'Z3803/17', 'titulo': ' N 01/11/2017 13:47', 'texto2': '04/12/17 00:00 a PERM'}, {'badge_info': 'Z3710/17', 'titulo': ' N 20/10/2017 19:24', 'texto2': '20/10/17 19:16 a PERM'}, {'badge_info': 'Z3373/17', 'titulo': ' R Z2657/17 25/09/2017 14:01', 'texto2': '25/09/17 13:57 a PERM'}, {'badge_info': 'Z2566/17', 'titulo': ' R Z2465/15 23/08/2017 19:48', 'texto2': '23/08/17 19:52 a PERM'}, {'badge_info': 'Z2259/17', 'titulo': ' R Z0769/15 30/07/2017 23:21', 'texto2': '30/07/17 23:25 a PERM'}, {'badge_info': 'Z4174/16', 'titulo': ' N 08/11/2016 12:54', 'texto2': '08/11/16 12:54 a PERM'}, {'badge_info': 'Z3733/16', 'titulo': ' N 29/09/2016 19:07', 'texto2': 'GND'}, {'badge_info': 'Z3672/16', 'titulo': ' N 28/09/2016 14:01', 'texto2': 'GND'}]"
SBPB,PI0005,Prefeito Doutor João Silva Filho,PARNAÍBA,PI,,"{'badge_info': 'B0055/19', 'titulo': ' N 21/01/2019 12:04', 'texto2': '21/01/19 12:04 a 20/04/19 23:59 UTC'}"
SBPC,MG0018,POCOS DE CALDAS,POÇOS DE CALDAS,MG,,"[{'badge_info': 'F0382/19', 'titulo': ' N 28/02/2019 15:48', 'texto2': 'SFC'}, {'badge_info': 'F0363/19', 'titulo': ' N 26/02/2019 20:18', 'texto2': 'SFC'}, {'badge_info': 'F0217/19', 'titulo': ' R F2403/18 31/01/2019 17:33', 'texto2': '31/01/19 17:33 a 27/03/19 23:59 UTC'}, {'badge_info': 'F0013/19', 'titulo': ' N 03/01/2019 18:44', 'texto2': '03/01/19 18:44 a 02/04/19 20:30 UTC'}, {'badge_info': 'F2412/18', 'titulo': ' R F1842/18 10/12/2018 17:09', 'texto2': '10/12/18 17:09 a 09/03/19 20:30 UTC'}, {'badge_info': 'Z0877/18', 'titulo': ' N 14/05/2018 20:01', 'texto2': '24/05/18 00:00 a PERM'}, {'badge_info': 'Z4445/16', 'titulo': ' N 28/11/2016 12:50', 'texto2': '28/11/16 12:50 a PERM'}]"
SBPF,RS0037,LAURO KURTZ,PASSO FUNDO,RS,,"[{'badge_info': 'E0364/19', 'titulo': ' N 27/02/2019 15:06', 'texto2': '19/03/19 10:00 a 22/03/19 17:00 UTC'}, {'badge_info': 'E0357/19', 'titulo': ' N 26/02/2019 17:04', 'texto2': '04/04/19 23:59 a 01/06/19 23:59 UTC'}, {'badge_info': 'E2761/18', 'titulo': ' N 07/12/2018 21:47', 'texto2': '07/12/18 21:47 a 06/03/19 23:59 UTC'}, {'badge_info': 'Z1950/18', 'titulo': ' N 07/11/2018 20:11', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z0438/18', 'titulo': ' R Z0433/18 27/02/2018 22:35', 'texto2': '27/02/18 22:36 a PERM'}, {'badge_info': 'Z2873/17', 'titulo': ' R Z1491/16 15/09/2017 15:35', 'texto2': '15/09/17 15:35 a PERM'}]"
SBPJ,TO0001,Brigadeiro Lysias Rodrigues,PALMAS,TO,,"[{'badge_info': 'F0237/19', 'titulo': ' N 06/02/2019 13:33', 'texto2': '06/02/19 13:33 a 24/04/19 23:59 UTC'}, {'badge_info': 'Z0011/19', 'titulo': ' N 09/01/2019 12:25', 'texto2': '09/01/19 12:25 a PERM'}, {'badge_info': 'Z1931/16', 'titulo': ' N 30/06/2016 15:56', 'texto2': '30/06/16 15:56 a PERM'}, {'badge_info': 'Z1742/16', 'titulo': ' N 13/06/2016 21:21', 'texto2': '13/06/16 21:21 a PERM'}]"
SBPK,RS0005,Aeroporto Internacional de Pelotas/RS - João Simões Lopes Neto,PELOTAS,RS,,"[{'badge_info': 'N0082 | 22/06/17', 'titulo': 'PISTA', 'texto1': '- Pista 15/33 fechada devido irregularidade do piso.', 'texto2': '\n  \tPeríodo: De 22 de junho de 2017, 0000 UTC até 31 de março de 2019, 2359 UTC.\n\tRef: AIP AD 2.12\n\n'}, {'badge_info': 'E0047/19', 'titulo': ' N 08/01/2019 21:45', 'texto2': '08/01/19 21:45 a 11/03/19 22:00 UTC'}, {'badge_info': 'Z1550/18', 'titulo': ' N 26/09/2018 22:14', 'texto2': '26/09/18 22:15 a PERM'}, {'badge_info': 'Z1548/18', 'titulo': ' N 26/09/2018 20:58', 'texto2': '26/09/18 20:58 a PERM'}, {'badge_info': 'Z0522/18', 'titulo': ' N 12/03/2018 13:59', 'texto2': '21/03/18 10:00 a PERM'}, {'badge_info': 'Z2355/17', 'titulo': ' N 12/08/2017 11:24', 'texto2': '12/08/17 11:24 a PERM'}, {'badge_info': 'Z4752/16', 'titulo': ' N 12/12/2016 19:46', 'texto2': '12/12/16 19:48 a PERM'}]"
SBPL,PE0002,SENADOR NILO COELHO,PETROLINA,PE,,"[{'badge_info': 'Z0270/17', 'titulo': ' R Z2074/16 31/01/2017 12:48', 'texto2': '31/01/17 12:51 a PERM'}, {'badge_info': 'Z4179/16', 'titulo': ' R Z0138/15 08/11/2016 14:29', 'texto2': '08/11/16 14:29 a PERM'}]"
SBPN,TO0003,PORTO NACIONAL,PORTO NACIONAL,TO,,[]
SBPP,MS0005,Ponta Porã,PONTA PORÃ,MS,,"[{'badge_info': 'E0382/19', 'titulo': ' R E0214/19 01/03/2019 17:58', 'texto2': '01/03/19 17:58 a 30/04/19 23:59 UTC'}, {'badge_info': 'Z1963/18', 'titulo': ' N 07/11/2018 21:43', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1578/18', 'titulo': ' N 28/09/2018 14:00', 'texto2': '28/09/18 14:00 a PERM'}, {'badge_info': 'Z0945/18', 'titulo': ' R Z0943/18 01/06/2018 17:13', 'texto2': '01/06/18 17:15 a PERM'}]"
SBPR,MG0016,CARLOS PRATES,BELO HORIZONTE,MG,,"[{'badge_info': 'Z1277/18', 'titulo': ' N 17/07/2018 17:17', 'texto2': '17/07/18 17:17 a PERM'}, {'badge_info': 'Z1028/18', 'titulo': ' N 13/06/2018 18:05', 'texto2': '21/06/18 09:00 a PERM'}, {'badge_info': 'Z3348/17', 'titulo': ' R Z3347/17 24/09/2017 22:07', 'texto2': '24/09/17 21:59 a PERM'}]"
SBPS,BA0002,Porto Seguro,PORTO SEGURO,BA,,"[{'badge_info': 'N0041 | 28/02/19', 'titulo': 'HORÁRIO DE SERVIÇO', 'texto1': '- Horário de Serviço AIS modificado. \n\n1) Dias e horários: 1000 - 0200 UTC\n\nRMK: Demais horários o serviço será prestado pelo Centro de Informações Aeronáuticas Recife (CAIS-RE) através da internet ou TEL (81) 2129-8212 e TEL/FAX PLN (81) 2129-8215.', 'texto2': '\n  \tPeríodo: De 28 de fevereiro de 2019, 1000 UTC até 31 de dezembro de 2019, 0200 UTC.\n\tRef: AIP AD 2.3 (RPLC NOTAM B1860/18)\n\n'}, {'badge_info': 'N0007 | 03/01/19', 'titulo': 'INFORMAÇÕES ADICIONAIS', 'texto1': '- Obstáculos não iluminados violando o Plano Básico de Zona de Proteção do Aeródromo. \n1) (Antena) coordenadas 162532.17S/0390553.79W, ALT 102.53M 2) (Antena) coordenadas 162509.09S/0390501.33W, ALT 107.44M', 'texto2': '\n  \tPeríodo: De 03 de janeiro de 2019, 0000 UTC até 16 de setembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.23\n\n'}, {'badge_info': 'N0246 | 06/12/18', 'titulo': 'INFORMAÇÕES ADICIONAIS', 'texto1': 'Obstáculo (TORRE) não iluminado montado violando o Plano Básico de Zona de Proteção do Aeródromo.\n1) Coordenadas 162455.40S/0390521.20W, ALT 98M', 'texto2': '\n  \tPeríodo: De 06 de dezembro de 2018, 0000 UTC até 18 de setembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.23 (RPLC NOTAM B1400/18)\n\n'}, {'badge_info': 'Z0158/19', 'titulo': ' N 27/02/2019 19:57', 'texto2': '28/02/19 00:00 a 06/03/19 23:59 UTC'}, {'badge_info': 'Z0148/19', 'titulo': ' N 23/02/2019 01:53', 'texto2': '23/02/19 01:53 a PERM'}, {'badge_info': 'B0154/19', 'titulo': ' R B1881/18 04/02/2019 19:46', 'texto2': '05/02/19 08:00 a 30/04/19 14:00 UTC'}, {'badge_info': 'B0039/19', 'titulo': ' N 15/01/2019 20:04', 'texto2': '15/01/19 20:04 a 14/04/19 23:59 UTC'}, {'badge_info': 'Z3291/17', 'titulo': ' R Z4178/16 22/09/2017 12:42', 'texto2': '22/09/17 12:42 a PERM'}, {'badge_info': 'Z2261/17', 'titulo': ' R Z3178/15 30/07/2017 23:33', 'texto2': '30/07/17 23:33 a PERM'}, {'badge_info': 'Z1070/17', 'titulo': ' R Z2869/15 29/03/2017 17:24', 'texto2': '29/03/17 17:30 a PERM'}]"
SBPV,RO0012,Governador Jorge Teixeira de Oliveira,PORTO VELHO,RO,,"[{'badge_info': 'N0116 | 21/06/18', 'titulo': 'INFORMAÇÃO METEOROLÓGICA', 'texto1': '- Meteorologia CMM (1 a 11) horário de serviço Segunda TIL Sexta 1200 – 2000, exceto feriado. Demais horários a pedido ao Centro Meteorológico de Vigilância Amazônico.\n\nRMK: Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico pelo TEL (92)3652-5374; (92)3652-5375.', 'texto2': '\n  \tPeríodo: De 21 de junho de 2018, 1200 UTC até 31 de dezembro de 2019, 2000 UTC.\n\tRef: AIP GEN 3.5 (RPLC NOTAM G0327/18)\n\n'}, {'badge_info': 'N0087 | 26/04/18', 'titulo': 'HORÁRIO DE SERVIÇO AIS', 'texto1': '- Horário de serviço AIS modificado. \n\n1) Dias e horários: Diariamente 1100/ 2100 UTC\n\nRMK: Demais horários de serviço serão prestados pelo C-AIS AZ.\nEm consequência:\nO responsável pelo recebimento e encaminhamento do PVC, PVS e mensagens correlatas partindo de SBRB, antes das 2100 UTC, porém com a EOBT compreendida entre às 2100UTC-1100UTC, além do procedimento cabível a cada tipo de voo, adicionar o endereço telegráfico do C-AIS AZ (SBEGYOYX) e da Torre de Controle do Aeródromo de SBPV (SBPVZTZX).', 'texto2': '\n  \tPeríodo: De 26 de abril de 2018, 1100 UTC até 31 de dezembro de 2019, 2100 UTC.\n\tRef: AIP AD 2.3\n\n'}, {'badge_info': 'N0005 | 01/02/18', 'titulo': 'ESPAÇO AÉREO CONDICIONADO', 'texto1': '- Área Proibida centro coordenadas 090539.56S/0640524.31 W Raio 02NM ativada.\n\n- LIMITES VERTICAIS: GND/2000FT AMSL', 'texto2': '\n  \tPeríodo: De 01 de fevereiro de 2018, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP ENR 5.1 (RPLC NOTAM G2271/17)\n\n'}, {'badge_info': 'N0169 | 07/12/17', 'titulo': 'SERVIÇO DE METEOROLOGIA', 'texto1': '- Meteorologia CMA (1 a 9) serviço prestado por meio de autoatendimento. Dúvidas sobre a utilização do portal www.redemet.aer.mil.br e demais informações consultar o Centro Meteorológico de Vigilância Amazônico TEL (92) 3652-5374; (92) 3652-5375.                              ', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC. \n\tRef: AIP GEN 3.5 (RPLC SUP N021/16)\n\n'}, {'badge_info': 'N0176 | 07/12/17', 'titulo': 'ÁREA RESTRITA', 'texto1': '- Área restrita temporariamente (Crocodilo 2A) compreendida entre as radiais 230 e 260 limitado internamente por um arco de raio de 11NM e externamente por um arco de raio de 15NM, ambos com centro no VOR PVH (0842.84S/06354.21W) ativo.\n\nRMK: Treinamento de aeronave militar\n- Limite vertical: GND/1500FT AMSL', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP ENR 5.1 (RPLC SUP N129/16)\n\n'}, {'badge_info': 'N0177 | 07/12/17', 'titulo': 'ÁREA RESTRITA', 'texto1': '- Área restrita temporariamente (Crocodilo 2) compreendida entre as radiais 230 e 260 limitado internamente por um arco de raio de 07NM e externamente por um arco de raio de 11NM, ambos com centro no VOR PVH (0842.84S/06354.21W) ativo.\n\nRMK: Treinamento de aeronave militar\n- Limite vertical: GND/1000FT AMSL', 'texto2': '\n  \tPeríodo: De 07 de Dezembro de 2017, 0000 UTC até 31 de Dezembro de 2019, 2359 UTC. \n\tRef: AIP ENR 5.1 (RPLC SUP N130/16)\n\n'}, {'badge_info': 'N0183 | 07/12/17', 'titulo': 'AERÓDROMO LIMITADO', 'texto1': '- Aeródromo limitado para voo doméstico.', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.2\n\n'}, {'badge_info': 'N0189 | 07/12/17', 'titulo': 'INFORMAÇÃO ADICIONAL', 'texto1': '- Obstáculo montado (Edifício) não iluminado. \n\n1) Coordenada: 084459S / 0635437W ELEV 493 FT', 'texto2': '\n  \tPeríodo: De 07 de dezembro de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.23 (RPLC SUP N085/16)\n\n'}, {'badge_info': 'N0077 | 25/05/17', 'titulo': 'OBSTÁCULO', 'texto1': '- Obstáculo (TORRE METÁLICA) iluminado montado.\n\n1) Coordenada: 084455S/0635441W ELEV 444, 58 FT', 'texto2': '\n  \tPeríodo: De 25 de maio de 2017, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP AD 2.10\n\n'}, {'badge_info': 'N0178 | 08/12/16', 'titulo': 'ALTITUDE DE TRANSIÇÃO RELACIONADA COM CARTAS DE AERÓDROMO', 'texto1': '- TA corrigir para 3000FT.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP (RPLC N152/15)\n\n'}, {'badge_info': 'N0183 | 08/12/16', 'titulo': 'SUBIDA DE CARTAS', 'texto1': '- No Quadro RMK Gradiente MNM de Subida, corrigir conforme a baixo. \n\n1- RWY 01: 3,3 % ( POR CENTO);\n2- RWY 19: 3,5 % (POR CENTO) até cruzar 800FT, após 3,3% (POR CENTO).\nNos seguintes procedimentos:\n- SID BOTO-ISURA-LEGO;\n- SID GUIMA-KOGVI-MARX-TANG;\n- SID CHANT-RUTH.', 'texto2': '\n  \tPeríodo: De 08 de dezembro de 2016, 0000 UTC até 31 de dezembro de 2019, 2359 UTC.\n\tRef: AIP MAP SID (RPLC N146/14)\n\n'}, {'badge_info': 'Z0142/19', 'titulo': ' R Z0140/19 19/02/2019 18:09', 'texto2': '19/02/19 18:09 a PERM'}, {'badge_info': 'Z0126/19', 'titulo': ' N 18/02/2019 20:41', 'texto2': 'SFC'}, {'badge_info': 'G0035/19', 'titulo': ' N 14/01/2019 16:29', 'texto2': '21/01/19 16:00 a 19/04/19 23:59 UTC'}, {'badge_info': 'Z1965/18', 'titulo': ' N 07/11/2018 21:55', 'texto2': '08/11/18 00:00 a PERM'}, {'badge_info': 'Z1200/18', 'titulo': ' R Z1166/18 05/07/2018 18:51', 'texto2': '05/07/18 18:51 a PERM'}, {'badge_info': 'Z1199/18', 'titulo': ' R Z1170/18 05/07/2018 18:47', 'texto2': '05/07/18 18:47 a PERM'}, {'badge_info': 'Z1169/18', 'titulo': ' N 29/06/2018 19:58', 'texto2': '29/06/18 19:58 a PERM'}, {'badge_info': 'Z0377/18', 'titulo': ' N 07/02/2018 17:23', 'texto2': 'GND'}, {'badge_info': 'Z3146/17', 'titulo': ' R Z3993/16 18/09/2017 14:22', 'texto2': '18/09/17 14:22 a PERM'}, {'badge_info': 'Z2249/17', 'titulo': ' R Z3278/15 28/07/2017 15:28', 'texto2': '28/07/17 15:28 a PERM'}, {'badge_info': 'Z0467/17', 'titulo': ' N 13/02/2017 11:47', 'texto2': '15/02/17 00:00 a PERM'}]"
SBQV,BA0003,VITORIA DA CONQUISTA,VITÓRIA DA CONQUISTA,BA,,"[{'badge_info': 'INFOTEMP 1290/2018', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'B0278/19', 'titulo': ' R B0066/19 28/02/2019 20:36', 'texto2': '28/02/19 20:36 a 28/05/19 23:59 UTC'}, {'badge_info': 'B0276/19', 'titulo': ' R B0067/19 28/02/2019 20:27', 'texto2': '28/02/19 20:27 a 28/05/19 23:59 UTC'}, {'badge_info': 'B0272/19', 'titulo': ' R B0068/19 28/02/2019 19:36', 'texto2': '28/02/19 19:36 a 28/05/19 23:59 UTC'}, {'badge_info': 'B1862/18', 'titulo': ' N 19/12/2018 19:33', 'texto2': '19/12/18 19:33 a 15/03/19 23:59 UTC'}, {'badge_info': 'Z0387/18', 'titulo': ' N 08/02/2018 19:04', 'texto2': '15/02/18 00:00 a PERM'}]"
SBRB,AC0001,Plácido de Castro,RIO BRANCO,AC,,"[{'badge_info': 'G0219/19', 'titulo': ' R G0192/19 25/02/2019 14:48', 'texto2': '25/02/19 14:48 a 25/03/19 20:00 UTC'}, {'badge_info': 'G0123/19', 'titulo': ' R G1348/18 28/01/2019 15:13', 'texto2': '28/01/19 15:13 a 01/03/19 20:00 UTC'}, {'badge_info': 'G0121/19', 'titulo': ' R G1466/18 28/01/2019 15:10', 'texto2': '28/01/19 15:10 a 01/03/19 20:00 UTC'}, {'badge_info': 'G1495/18', 'titulo': ' N 26/12/2018 19:29', 'texto2': '03/01/19 11:00 a 01/04/19 16:00 UTC'}, {'badge_info': 'Z2528/17', 'titulo': ' R Z2096/16 19/08/2017 12:03', 'texto2': '19/08/17 12:03 a PERM'}]"
SBRD,MT0004,RONDONOPOLIS,RONDONÓPOLIS,MT,,"[{'badge_info': 'G0144/19', 'titulo': ' N 04/02/2019 18:56', 'texto2': '12/02/19 03:00 a 11/05/19 06:00 UTC'}, {'badge_info': 'Z0523/18', 'titulo': ' N 12/03/2018 14:07', 'texto2': '20/03/18 11:00 a PERM'}]"
